,original_text,tesseract_output,summary,index,summary_tesseract,summary_original
0,أكدت جمهورية كوريا دعمها لجهود هيأة الأمم المتحدة للتوصل إلى حل سياسي لقضية الصحراء. وقد اعترفت كوريا بجهود المغرب لإيجاد حل للنزاع حول الصحراء المغربية. كما رحبت جمهورية كوريا بعودة المغرب إلى منظمة الاتحاد الإفريقي، وبإمكانية انضمامه للمجموعة الاقتصادية لغرب إفريقيا (إيكواس). واعتبر الوزير الأول الكوري بالنموذج المغربي، في لقاء جمعه بنظيره سعد الدين العثماني، أن عودة المغرب هاته، خاصة بالنظر إلى السياسة الإفريقية التي يعتمدها المغرب في ظل التوجيهات الملكية للملك محمد السادس، تشكل خطوة أساسية لضمان الاندماج والاستقرار والتنمية في إفريقيا.  ,أكدت ججهورية كوريا دسنها ليجهوء هيأة الأسم الستحدة التتوصل إلى جل سياسياقضية الصحراء. وق اصترفه كورها بجهود السغرب لزيجاء حل النزاج حولالصحراء السعريية. كما رحيت جمهورية كورها بعودة السغرب إلى منظمة#تحاء الافريقي. وياسكانية اتضماعه السجمو عذ الاقتصادية اعرب إغريفيا#يكواس) واعتير الوزير الأول الكوري بالسواج السغربي. في لقاء جسعهبنظيره سعد الدين العدمائي. أن عودة السغرب هاته. خاصة بالتنظر الىالسياسة الافريقية ابي يعنسها لغرب في عل النوجيهات السلكية الاكمح السادس. انشكل خطوة أساسية لضمان الاتدماج والاستقرار والتشمية فيإغريقها,كوريا داعمة المغرب على الصحرا ديالو,0,ججهورية كوريا تؤكد دسنها ليجهوء هيأة الأسم الستحدة حول قضية الصحراء الغربية وترحي بعودة السغرب إلى منظمة#تحاء الافريقي واتضماعه السجمو عذ الاقتصادية اعرب إغريفيا#يكواس. وتعتبر هذه الخطوة أساسية لضمان الاتدماج والاستقرار والتشمية في إفريقيا.,جمهورية كوريا تدعم جهود الأمم المتحدة لحل سياسي لقضية الصحراء المغربية وتقدر جهود المغرب في هذا السياق. كما ترحب بعودة المغرب إلى منظمة الاتحاد الإفريقي وإمكانية انضمامه إلى إيكواس. وتعتبر عودة المغرب خطوة أساسية لضمان الاندماج والاستقرار والتنمية في إفريقيا.
1,الرابور عمر السهيلي المعروف بديزي دروس حط فيديو عبر خاصية الستوزي فانستگرام ديالو، بان فيه انه تلاقا البارح الاثنين مع الفنان المشهور بلقب “النورس” في فرانسا. هاد اللقاء هو تأكيد أن العافية لي شاعلة بيناتهم طفات بعدما توجهو اتهامات لديزي دروس بالشفرة. واحد الجملة استعملها النورس في ديسك قديم ديالو وهو “كينكستر عربي”، وخداها ليه ودارها في أغنيتو الأخيرة “air max”. الجمهور كان طلب من النورس يجاوب ديزي ويكلاشيه حيت خدا ليه كلامو، لكن هو رفض واعتبر الأمر تكريم كثر منو شفرة ومبغاش يدخل معاه في الحرب، لأن الأمر كيدخل فاللعبة ديال الراب. واللي ما كيعرفش النورس هو مول أغنية جينيريك مسلسل ساعة فالجحيم، وأغنية مسلسل وعدي، وهو اللي صوب مع البيگ ألبوم مغاربة حتى لموت، وزيد وزيد…,"الرايور مسر السويلي السعروف يديزي دروس حط فيديو عير خاصية الستوزيفانسدكرام ميالو. بان فيه اله ثلا البارج #انين مع القنان السشهوربلقب “البورس” في فرانسا. هناد الثقاء هبو تأكيد أن العافية لي شاطلةسناتهم طفات بعسما توجهو اتهاسات ديزي دروس بالشفرة. واحد الجملةاستصتها التورس في بيسك قديم بيائو وهو “كيتكستر عربي *. وخداها ليهودارها في أعنينو الأخيرة “كلها 8#"" الجسهور كان طلب من التورس يجاوببيزي ومكافاضيه حيست خدا ليه كلاسو. كن هو رفض واخمير الأسر تكريم كثر منشفرة ومبغاض يدخل سعاء في الحرب. لأن الأمر كيد خل فالعية ميال لزابواللي ما كيعرفض التورس هو مول أغنية جينيريك مساسل ساعة فالجحيي وأفنيةمساسل وعدي. وهو اللي صوب مع اليك أليوم مقارية حنى اعوت. وزيد وزيه..",بعد الاتهامات بالشفرة.. ديزي دروس تلاقا بالنورس وطفات العافية,1,"According to the text, the radio presenter was surprised by a special video for his birthday, which was celebrated with the singer ""Boris"" in France. The video showed the artist's trust in his health and his determination to continue his career. The sentence that touched him the most was ""Arab Kitexter *"". He was also moved by the number ""8#"" written in the eyes of his fans. The singer requested that the presenter answer his questions and gifts, but he refused and thanked the audience for their appreciation and love. He also refused to enter the war and said that he would not sing generic songs, but rather songs with meaning. He also confirmed that he would continue to make music with his colleague ""Zid Wazi"".

(Note: This summary is based on the provided text, but it may not be fully accurate as the text contains some unclear or incomplete sentences.)

Summary in Moroccan dialect:

The radio presenter was surprised by a special video for his birthday, celebrated with singer Boris in France. The video showed the artist's trust in his health and career. The sentence ""Arab Kitexter *"" and the number ""8#"" in the fans' eyes touched him. The singer asked him to answer questions and gifts, but he declined, thanking the audience for their appreciation and love. He refused to enter any conflicts and will continue making meaningful music with colleague ""Zid Wazi"".","ديزي دروس شارك فيديو عبر انستقرام يظهر لقاءه مع الفنان النورس في فرنسا. هذا اللقاء يتأكد أن العلاقة بينهما صحيحة بعد اتهامات شفرة لديزي دروس. النورس استخدم عبارة ""كينكستر عربي"" من قديم وأعادها في أغنية ""air max"". الجمهور طلب من النورس الرد على ديزي دروس ولكنه رفض ووصف الأمر كتكريم للذين يشاركون الحرب عن طريق الراب. النورس هو مول أغنية جينيريك ""ساعة في الجحيم"" وأغنية ""مسلسل وعدي"" والذي صدر مع البيغ ألبوم ""حتى الموت المغاربي"" وغيرها."
2,أطاحت عملية مراقبة روتينية بالسد القضائي في مدخل مدينة صفرو بعصابة متخصصة في سرقة ضيعة ملكية بنواحي الإقليم. وقالت المصادر لـ”كَود” إن عناصر الشرطة أوقفوا سيارة كانت بصدد الدخول إلى المدينة وعلى متنها 4 أشخاص. وقامت عناصر الأمن بعملية تفتيش السيارة والأشخاص، فعثروا بحوزة أحدهم على سلاح أبيض من الحجم الكبير عبارة عن “سيف”. وتبين، من خلال البحث معهم، أن هؤلاء الأشخاص يشكلون عصابة متخصصة في سرقة ضيعة ملكية بنواحي إقليم صفرو، حيث كانوا يسرقون بعض ثمارها، بتواطؤ مع حارس الضيعة والذي تم توقيفه بدوره. وقالت المصادر نفسها لـ”كَود” بأن النيابة العامة بمحكمة الاستئناف بفاس أمرت بوضع الموقوفين، أمس الأحد، تحت الحراسة النظرية لفائدة البحث، في انتظار تقديمهم أمامها لاتخاذ المتعين قانونا.,"أطاحه عملية مراقية روائينية بالسد القضائي في مدخل صدينة صفرو بعصابةمتخصصة في سرقة ضيعة ملكية بنواحي الاقليم وقالت المصامر ""كود"" أنمناصر الشرظة أوظهوا سيارة كانت بصدد الد خول إلى السبينة وعلى متها 4أشخاض وقامت عناصر الأمن يعطية اتقتيض السيارة والأشخاص. قروا يجوزةأحدهم على سلاج أبيض من الحجم الكيير عيارة عن “سيف” والبيين. من خالالالبح معهم أن هؤلاء الأضخاصي يشكثون عصابة مخصصة في سرقة ضيعة ملكيةبنواحي إقليم صغرو. حيت كانوا يسرقون بعض لمارها. بتواطع مع حارس الضيعةوالذي انم توظيفه يسوره. وقالت السصامر نفسها “كود ” بأن النياية العاسةبسحكسة الاستتداق بقاسى أصرت يوضع الموفوفين. اص الأحد. تحت الجراسةالعظرية لغائدة البحسث. في اتنظار تقسيحهم أمايها لانخاذ الستعين قاوذا",نواحي صفرو.. بالصدفة طاحت عصابة موالفة كتشفر الفاكية من فيرمة ملكية,2,"A judicial investigation was launched in the port of Safrou, dismantling a gang specialized in stealing royal property in the region. Security forces noticed a suspicious car with 4 individuals. Upon searching, they found a large white cloth concealing a ""sword"" and documents. The individuals confessed to being part of a gang stealing royal property with the help of a guard. The main suspect was placed under arrest, awaiting further investigation.",تم اعتقال عصابة متخصصة في سرقة ضيعة ملكية في صفرو بعد وقوف سيارتهم في مدخل المدينة واكتشاف سيف في متن السيارة. تم توقيف أعضاء العصابة وحارس الضيعة بتواطؤ معهم ووضعهم تحت الحراسة النظرية للبحث.
3,شي كمامر ما كيحشموش. بحال سعيدة شرف. طالعة واكلة نازلة واكلة. عراسات وسهرات وكلشي كيتخلص فيه كاش. طبعا ما كتخلصش الضرائب لبلادها. كتعرف غير تشري الديور. عزيز عليها الياجور. هاد السيدة اللي دارت بزافت لفلوس على ظهر الصحرا واخا ما عندها علاقة بيها. بنت قلعة السراغنة غرقات ليها الطونوبيلة فكازا بسباب الشتا خرجات فحسابها فانستكَرام وقالت فيه: “اش هاد الحالة في كازا، ليديك كتعرف تجي غير تتخلص، ما تعرفش دير للناس حل”. سعيدة شرف خرجات في الشركة المسيرة للتطهير في العاصمة الاقتصادية، واضافت في الفيديو: “أنا غرقت في لشارع كبير يعلم الله حال الناس لي في الأحياء الضيقة”. انتي خلصي غير اللي خاصك تخلصي من واجبات لدولتك لمدينتك عاد يمكن ليه تهدري وتحلي فمك. الله ينعل اللي ما يحشم. بحالها بحال هاداك الصويري ولاو ملايرية كبار بزاف بزاف. فدول عندهم الصرامة فالضرائب كون قزبوهم.  ,مي كعامر ما كيحشموض بحال سعيدة شرف طالعة واكثة نازالة واكثنة. عراساتوسهرات وكثضي كمشخخص فيه كاحي طيها ما كتختصتر الضراب أيلادها كتحرف صرتشري السيور. عزيز عليها الياجور. هاء السيدة اللي داررت يزافت فلوس علىهر الصحرا واخا ما مندها علاقة بيها ينث قلعة السراضة فرقات ليهاالعلونوييلة فكازا بسياب السدا خرجات فحسابها فاتستاكرام وظالت فيه “علهاء الحالة في كازا. ليديك كتعرف نجي غير اتتخلص. ما تعرفضي دير ناس حلسعيدة شرف خرجات في الشركة السسيرة التطهير في العاصمة الاقنصاءية.واضاف في التميدبيو. “ثنا مرق في الشارع كبير يعلم اله حال اثنائس إلى في#احياء الضيقة”. اتني خاصي مير اثلي خاصك لخاصي من واجيات موتكلسينتك. عاد يمكئن ليه الهدري واتحلي فبك الله ينعل اللي ما يحدم يجالهابحال هاما الصويري ولاو ملايرية كبار يزاف يزاف. فول مندهم الصراسة#الضر انب كون لزيوهم,ما كتحشمش. اش من ضرائب كتخلص. سعيدة شرف غرقات ليها طوموبيلتها ففيضانات كازا. وها ميساجها لـ”ليديك”: كتعرفو غير تخلصو – تدوينات,3,"The woman lived happily, respected and active. She raised her children well and they became skilled drivers. She was generous and spent her money wisely. She was a lady who left her mark on the Sahara desert and had no relationship with the women of the Qal'at al-Saradja tribes. Despite her health problems, she remained active and was honored in Casablanca and Tangier. She said, ""I have known a happy life full of respect."" She did not refuse to help people. She worked in a cleaning company in the capital Rabat. She added, ""Then I went to the big street where I learned the state of the two senses."" She was a special person to me, and I wish her all the best. May God protect her from what may harm her and preserve her good health. They prayed for her and her family to be protected from harm.","The text describes a woman named Saida Sharaf who lives happily, eats well, and attends weddings. She doesn't pay taxes and doesn't respect her husband. She is a lady who paid for a wedding in the desert and doesn't have a relationship with her brother. She is from Sraghna and drowned in the Tounoubila. She complained about the situation in Casablanca, saying ""This is the situation in Casa, you don't come without getting stuck, you don't know the people's circumstances."" Saida Sharaf appeared in a video for a cleaning company in the economic capital, saying ""I am drowning in a large street, God knows the situation of the people in the narrow neighborhoods."" The text ends with a warning to fulfill one's duties to their country and city, and God will punish those who don't pay taxes."
4,“ناتاشا ابونتي  natasha aponte” هي مانكان امريكية  تعرفت على 120 واحد عبر تطبيق “تيندر”، ودارت معهم في نفس المكان ونفس الزمان.  ملي جاو ما فاهموا والو، طلعت للخشبة وبدات تخطب عليهم، شرحت ليهم البلان وبدات كتعطي الشروط ديالها مثلا لي سميتو طوم يمشي فحالو ولي صلع يمشي فحالو من بعد دارت ليهم تشالانج ديال الجري والطراكسيون باش في الأخير تختار لي بغات. ,"“ناناها ايودي #امجية مط دده"" عي مائكان اسريكية تعرف على 120 واحدعبر تطيبيق “تيندر"". ودارت معهم في نفس المكان ونفس الزمان. علي جاو مافاعوا والع. طلع الخضية ويدات تخطب عليهم شرحت أيهم اليل ويداتكتسني الشروط ديالها منالا لي سمينو لوم يعفي فحالو ولي صاع يمني فحالو منبع دارت ليهم اندالائج ميال الجري والطراكسيون باع في الأغبير اتختار لييعات",هادي الي عبرات. مريكانية دارت رونديفو مع اكثر من 100 راجل ف”تيندر” فنفس البلاصة وبدات تعزل فيهم واحد بواحد(صور),4,"The text tells the story of a mysterious woman named ""Amy"" who met 120 people through the app ""Tinder."" She lived with them in the same place and time. They did not find her, but she had a trick to attract them and explain the rules of her game. She promised them love if they followed her rules, but if they failed, they would become her slaves. She took them to the mountains and forests to sell them to the highest bidder in the auctions.","Natasha Aponte invited 120 men, met on Tinder, to the same place and time. They didn't understand until she appeared on stage explaining her plan. She set rules like naming them Tom and walking in a line. They participated in challenges, and she chose the winner."
5,ذكرت تقارير إخبارية، أن القوات المغربية المكلفة بحماية المنفذ الحدودي المجاور لشاطىء تراخال منعات زوال اليوم الاثنين عشرات المهاجرين باش يحركو عومان لـ سبتة المحتلة. هاذ الشي خلا “لاگواريا سيبيل” يعلنو حالة استنفار في المنطقة. هاذ المحاولات كانت عند حاجز الأمواج الحدودي تراجال، بعد تجمع العديد من الأشخاص على الجانب المغربي وحوالي 10 منهم دخلو للبحر، لكن القوات المغربية اعترضتهم قبل ما يوصلو لساحل سبتة المحتلة.,ذكرت تعارير إخبارية. أن القوات السهريية السكائفة يحماية السفد الجسوييالسجاور لشاطىء تراعال منعات زوال اليوم انين عشرات الحهاجرين افريحركو عومان ل سيدة السحظة. هاذ نشي خالا “لاكوائريا سيبيل” يعلنو حالةاسستغار في المنطقة. هاذ السحاولات كانه عند حاجز ا#أمواج الحدودياتراجال. بعد نجع الصديد من الأشخاص على الجائب السغربي وحوالي 10 منهم«خلم البح. اكن القوات السغريية اعترضتهم قيل ما يوصاو اساحل سيدةاهما,لحريگ لسبتة: السلطات تدخلات هاد المرة,5,"The coast guard is protecting the beach of Tara'a to prevent the influx of refugees. Dozens of migrants tried to cross to Sebilla, but the authorities declared a state of emergency. The events took place at the border checkpoint of Amwaj. After the rescue of many people from the sea, about 10 of them drowned. The coast guard intervened to prevent them from reaching the land.","According to news reports, Moroccan forces tasked with protecting the border post adjacent to TRAKHAL beach prevented the departure of dozens of migrants on Monday who were trying to reach the occupied Ceuta. This comes as ""LAGOUARIA SIBAIL"" declares a state of emergency in the area. These attempts occurred at the Tarajal sea barrier, after many people gathered on the Moroccan side and about 10 of them entered the sea, but the Moroccan forces intercepted them before they reached the shore of occupied Ceuta."
6,قدر الفنان أيمن السرحاني يحقق نسبة مشاهدة مرتفعة لكليب أغنيتو الجديدة في ظرف قصير. وقدرات أغنية السرحاني “طلعتك بزاف” أنها تحقق 10 مليون مشاهدة على قناة المغني في يوتوب في ظرف 72 ساعة، وحتلات الطوندونس لمدة يومين. أيمن السرحاني غبر واحد المدة على الساحة الفنية وما حطش الجديد لمدة أكثر من عام، وبعدها قرر يصدر الجديد ديالو. ,اقبر لان أيصن السر حاتي يحفيق نسية مشاهدة مرتفعة لكثيب أعينو الجميدةفي ظرف قصير وقدرات أعنية السرحائي “طقس يزاف” أنها تحفق 90 مليونمداعدة على قناة المفني في يوثوب في قرف 73 ساعة. وحدلات الطوتسونس اسدةيومين. أيعن السرحائي غير واحد السدة على الساحة القنية وما حطض الجديداسة أكثر من عام ويعدها قرز يصير الجديد بيائق,ف 4 ايام.. أغنية السرحاني شادة الطوندونس ب10 مليون مشاهدة -فيديو,6,"The text talks about a secret that led to a significant increase in views on the ""Weather Forecast"" channel on YouTube in just 73 hours, reaching 90 million views. It also mentions the dominance of Twitter statistics and the scarcity of new content for over a year, describing it as a dry period awaiting new rain.","The artist Aymane Serhani achieved a high viewership rate for his new song's music video in a short period. His song ""Tlatik Bzaf"" reached 10 million views on his YouTube channel in 72 hours and ranked first in Tunisia for two days. Aymane Serhani was absent from the artistic scene for more than a year without releasing anything new, but he decided to release new material."
7,المانكان البريطانية كامبل ناومي علنات البارح أنها ولدات بنتها الأولى وهي في سن 50 عام. الخبار دار البوز في العالم الإفتراضي، لأنها ماشاركاتش خبر حملها بمرة، حتى جات المفاجأة فاش قالت أنها ولدات. الجدل وصل حتى للمغرب وكاين اللي شبه هاد القصة بالبوز اللي خلقاتو الفنانة لطيفة رأفت ملي ولدات بنتها “ألماس”. وكتبات ناومي في تعليق على تصويرة نشراتها فصفحتها ب “تويتر”: “أعجوبة صغيرة ومدهشة اختارتني باش نكون ماماها. هادا شرف كبير. الكلمات مايقدروش يوصفو الرابط القوي اللي كيجمعني بيك أبنتي..”. ولحد الآن ماكشفاتش المانكان على السمية اللي ختارت لبنتها، ولا تاريخ ولادتها. ,العاتكان البريطائية اميل ناومي عثنات البارج أنها ولدات ينها لولوهي في سن 90 عام الخبار دار اليوز في التعالم الافتراضي. أنهماساركانش خير حيطلها يعرف حدى جات السفاجأة قاض قالت أنها ولدات. االجبالوصل حت مغرب وكين اثلي ضيه هاء القصة باليوز اللي خلقاتو الفنانةاعطيغة راغت ملي وثدات ينتها “ماس *. وكثيات تومي في العليق على اتصويرةنهراتها فصفحتها ب “تويتر”. “أعجوية صغيرة وسدصدة اخدارئتي باش تكونماماها هادا شرف كير الكثمات مايقد روش يوصفو الرايط القوي الليكيجسني بيك أينني. * ولحد الآن #اكشفائش الماتكان على السمية اليعسارت لينتها. ولا تاريخ ولابتها,عاشت تجربة بحال لطيفة رأفت.. المانكان ناومي كامبل ولدات والخبر داير حالة فـ الأنترنت – تغريدة و تصويرة,7,اميل ناومي عثنات البارج ولدات ينها لولوهي في سن 90 عام. أنهماساركانش خير حيطلها يعرف حدى جات السفاجأة. أعلنت عبر تويتر أنها ولدات من بارج مغربي. وكثيات تومي في العليق على اتصويرةنهراتها. لا تاريخ ولابت الولادة.,"British Prime Minister's wife, Carrie Symonds, surprised everyone by announcing the birth of their first child at the age of 50. The news caused a stir in the imaginary world of show business, as she did not share her pregnancy until the surprise announcement. The debate also reached Morocco, with some comparing this story to the fictional character created by artist Laila Raafat, who gave birth to a daughter named ""Almas"". Carrie Symonds wrote in a tweet, ""A little baby girl has chosen me to be her mother. This is a great honor. Words cannot describe the strong bond that unites me with you, my daughter."" The name and birthdate of the child have not been revealed yet."
8,أي حكومة كتحتارم راسها وكتمثل الشعب بصح، فراه فحادثة بحال ديال إيجوكاك ضروري غادي ينتاقلو مسؤولين كبار لعين المكان ويوقفو على عملية الإنقاذ أو إستخراج الجثث، طبعا هوما ماغاديش يرجعوهم للحياة ولكن على الأقل غادي يبينو للمغاربة وللعالم أن المواطن المغربي عندو قيمة وماشي مجرد حشرة يكفي ستاتو في فايسبوك لنعيه، الكوارث الطبيعية كتوقع فالعالم كامل، ولكن في الدول لي عندها حكومات كتحتارم مواطنيها وفي خدمتهم، كنلقاو المسؤولين وسط الحدث، وكاين لي يوقف الكونجي ويوقف أي حاجة ويحضر حيت الواجب ديالو هاداك، طبعا الحضور ديالو راه غير رمزي وماغادي يغير من هول الكارثة والو، ولكن على الأقل كيبين القيمة ديال المواطن والواجب ديال الدولة إتجاهو. قيمة المواطن فشي بلاد كتبان من تفاعل الدولة معاه فالكوارث والأحداث المؤلمة، وكيفاش كيكونوا الساسة والمسؤولين ديال ديك البلاد حاضرين فعين المكان ومشرفين على العملية شخصيا، التراب يردم خمسطاش لمواطن في منطقة نائية وسيلتهم الوحيدة للنقل هي النقل المزدوج لي كيغامر براسو فكل فاياج باش يفك العزلة على دوك الناس، هادي حادثة تقدر توقع فاي بلاد، الصين لي دولة عظمى ديما عندهم إنجراف التربة فشي مناطق على قرى بأكملها، الدولة ماشي مهمتها تمنع الكوارث الطبيعية ولكن مهمتها أن تحد من الضرر ديالهم على المواطنين وعلى البنية التحتية، ومهمتها أنها تنشأ بنية تحتية لي تقدر تصبر لبحال هاد الكوارث أو على الأقل تقلل من أخطارهم، ولكن هنا لا هادي لا ديك. العثماني لي رئيس الحكومة ديال بلاد وقعات فيها كارثة طبيعية أدت لمقتل خمسطاش ديال المواطنين إكتفى بنعيهم بستاتو فالفايسبوك، هنا كتعرف بلي بزاف ديال مغاربة الهامش غير زايد ناقص عند الحكومة، وكتعرف بلي رئيس الحكومة براسو راه غير زايد ناقص، حقا تاواحد مكان كيتسنى منو يدير شي تحرك أو مبادرة، ولكن على الأقل يهدر يعبر يبين على الحزن ديالو على التضامن راه أمهات هادو لي ماتو وأطفال تيتموا، وماتوا بسباب قلة شي وقلة الخيارات وبسباب إنتمائهم للهامشن وعلى الأقل تحتارم أرواح هاد المواطنين وتتحرك الحكومة ولو غير رمزيا باش يعرفو الناس أن حياة المغاربة ماشي رخيصة حتى لهاد الدرجة.,أي حكومة كتحتارم راسها و كسثل الشعب بصح. قراء فحاءثة بجال نيال إيجوكاكاضروري غامي ينناقلو مسؤواين كبار اعين العكان ويوففو على سلية الإتقازلو إسسخراج الج طيها هوما ماعاديش يرجهوهم اللحياة ولكن على الكل غانييسنو السفارية ولتعالم أن السواطن السغربي عندو اقيعة وعاضي مجيره جشرةيكفي سناتع في فايسيوك انعيه. الكوارت التيعية كتوفي فالعالم كامل. والكنفي الدول لي مها حكومات كتحتارم مواطنيها وفي خدمتهم. كلقا المسؤولينوسط الحست. وكاين لي يوظف الكونجي ويوقف أي حاجة ويحضر حيت الواجب بيائوهاداك. طيها الحضور دبالو راء غير رهزي وماغادي يغير من هول الكارانةوالو. ولكن على الل كيين القيسة بيال السواطن والوابجب ميال السولةإتجاعو. فيمة السواطن فشي بلاد كتين من اتفاعل السولة محاء فالكوارتو#أحدات السوالسة. وكيقاض كيكونوا انساسة والمسؤوواسن ميال بيك اللامحاضرين فعين المكان ومشرفين على العطية شخصيا. اثتراب يردم خسطاغراسواطن في سنطقة ثالية وسيلتهم الوحيدة لتقل هي التنقل المزبوج لي كيغاعربراسو فكل فاياج باع يفك العزلة على موك اثناس. هادي حادانة اتقسر توضع فليبلا الصين لي موا نظ يما عندهم إتجراف التترية فشي مناطق على قربيباكملها. السولة ماهي مهسنها تمع الكوارت الضبيعية ولكن مهمتها أن نجهمن الضنن بيالهم على السواطتين وعلى الينية ا#تجنية. ومهستها أنها انهابيه الجبنية أي التقدر انعسير ايحنال ها اللتوارت أو على الال الال مينأخطارهم. والكن هنا 1 هادي لا ديه. العتماني لي رئيس الحكومة ميال بلاءوشعات فيها كارثة طبيعية أست اسيل خمسطلاض دبال السواطتين إكنفى ينهمبسناتو فالفايسيوك.. هنا كتعرف بلي يزاف ميال معارية الهامش مير زايد اقعند الحتكوسة. وكتعرف بلي رئيس الحتكوسة براسو را مير زاليد تقض حلفاتالواحم مكان كيتسنى منو يدير هي الحبرك أو مبامرق. ولكن على الأقل يهدريعبر بيبين على الزن بيائو على انضاسن ره أبيهات هايو لي مائو وأسشفالالينسول ومائوا بسباب ظلة هي وقلة الخيارات ويسياب اتتساتهم للهاصفن و علىلاقل تجسارم أرواج هاء السواطنين وتتجرك الجكومة ولو غير رمزها افريعرفو الناس أن حيا! السغارية ماي رخيصة حت لها الدرجة,أي حكومة كتحتارم راسها وكتمثل الشعب بصح فراه فحادثة بحال ديال إيجوكاك ضروري غادي ينتاقلو مسؤولين كبار لعين المكان.. طبعا هوما ماغاديش يرجعوهم للحياة ولكن على الأقل غادي يبينو للمغاربة وللعالم أن المواطن المغربي عندو قيمة,8,"The government must prioritize its citizens' health and read widely about the dangers of climate change. It is necessary to reduce the large emissions causing global warming and adhere to the Paris Agreement. However, the responsibility lies with all nations, and governments should serve their citizens. The coronavirus pandemic has affected the world, and countries must work together to combat it. The government's role is to protect its citizens from harm and ensure that they receive aid personally. The spread of the virus can be reduced through social distancing, and the government's responsibility is to prevent its citizens from falling into despair and working towards recovery. In a natural disaster, the government must prioritize the safety of its citizens, and the head of government should take responsibility for any shortcomings in managing the crisis. The government should also ensure transparency and accountability in its actions. The pandemic has highlighted the importance of protecting vulnerable groups and providing them with necessary resources. The government must work to improve the situation of these groups and ensure social justice for all citizens. It is essential to recognize that life is not cheap and to value every human life.","A government that chooses its head and represents its people properly, in the event of a disaster, must send senior officials to the scene to oversee rescue operations or body retrieval. Although they may not bring the dead back to life, they should at least show the Moroccan people and the world that the Moroccan citizen has value and is not just a number that can be mourned with a Facebook status. Natural disasters occur everywhere, but in countries where governments value and serve their citizens, officials are present during such events, and all other matters are halted to fulfill their duty. The presence of these officials may not change the outcome of the disaster, but it shows the value of the citizen and the state's duty towards them. The value of a citizen is determined by how the state interacts with them during disasters and tragic events. In a country with responsible officials, they would be present at the scene and personally oversee the operation. If a landslide buries a citizen in a remote area and their only means of transportation is a double motorcycle, it is expected that every effort is made to break their isolation. This incident can happen in any country, and China, despite being a great nation, experiences landslides that engulf entire villages. The state's role is not to prevent natural disasters but to minimize their damage to citizens and infrastructure. The state should build infrastructure that can withstand such disasters or at least reduce their risks. However, in this case, there is none of that. The head of government of a country where a natural disaster occurred, resulting in the death of five citizens, was content to mourn them with a Facebook status. This reveals the narrow margin of concern for Moroccans by the government and the head of government, who is also narrow-minded. At least he should have expressed his condolences and solidarity with the mothers of the deceased and the orphaned children. They died due to a lack of resources, limited options, and marginalization. The government should at least value the souls of these citizens and move, even symbolically, to show that the lives of Moroccans are not cheap, even at this level."
9,بعدما تلغاو التراويح وصلاة العيد، قام الملك محمد السادس، مرفوقا بولي العهد الأمير مولاي الحسن، والأمير مولاي رشيد، اليوم الأربعاء 20 ماي 2020، بإحياء ليلة القدر عن بعد. وبهاد المناسبة الدينية، أدى الملك  العشاء والتراويح. كما قام وزير الأوقاف والشؤون الإسلامية بختم صحيح البخاري بين يدي الملك. محمد السادس، اختار إحياء ليلة القدر بهاد الطريقة، في إطار احترام الحجر الصحي، والالتزام بالتدابير الوقائية والاحترازية، اللي اتخذتها بلادنا لمواجهة جائحة فيروس كورونا”. وهادي أول مرة يتم فيها احياء لـ”ليلة 27″ بطريقة التباعد الاجتماعي، منذ تولي الملك العرش.,ينما لقان التراويج وصللاة العيد. لام املك محب السايس. مرفوةا يوليالصهد ا#أمير مولتي الحسن. والأمير مولتي رجيد. اليوم الأرعاء 20 ماي2020 ياحياء ليلة القمر عن بعد ويهاء المناسية الدينية. أب المللالعضاء والتراويج. كما قام وزير الأوقاف والشؤون الاسلاعية يخدم صجيحالبخاري بين يدي العلله. محمد السامس. اخدار احياء ليثة اندر يهاءالطريقة. في إطار احجترام الحجر الصحي. والاثتزام بالتد بير الوقائيةوالاحدرازية. اللي اتخذتها بلادنا لسواجهة جائحة فبروس كورونا”. وهانيأول مرة يسم فيها احياء (“ثيلة 27() بطريقة التياعه #اجساعي. منذ نوليلمك العرض.,بسباب “كورونا”.. الملك احيى ليلة القدر عن بعد لاول مرة منذ توليه العرش,9,"The text discusses the celebration of Eid Al-Adha and the royal pardon granted by King Mohammed VI and Prince Moulay Rachid. It highlights the religious and humanitarian significance of the day, as well as the precautions taken by the Minister of Endowments and Islamic Affairs, Mohammed Sams, to ensure the safety of the faithful during the COVID-19 pandemic. It also mentions the first virtual ""Thyla 27"" celebration.","The King Mohammed VI, accompanied by Crown Prince Moulay El Hassan and Prince Moulay Rachid, celebrated the Night of Destiny remotely on Wednesday, May 20, 2020, after the Eid prayers and tarawih. On this religious occasion, the King led the evening prayer and the tarawih. The Minister of Endowments and Islamic Affairs sealed Sahih Bukhari between the hands of the King. Mohammed VI chose to celebrate the Night of Destiny in this way, in order to respect the health lockdown and adhere to preventive and precautionary measures taken by our country to confront the coronavirus pandemic. This is the first time that the ""Night of 27"" has been celebrated in this way, since the King ascended the throne."
